,contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,average_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games_played
63,Kyle Orton,2012,10500000.0,443,750,5411,80.59999999999998,29,18,44,297,33,111,0,22
64,Kyle Orton,2008,3000000.0,233,448,2347,63.85000000000001,12,15,32,202,29,43,0,18
65,Kyle Orton,2010,2621000.0,608,1006,6774,84.63870967741936,39,24,56,319,48,120,3,31
66,Matt Cassel,2009,63000000.0,349,555,3946,56.537142857142854,23,13,50,235,86,297,3,35
67,Matt Cassel,2014,10500000.0,153,254,1807,81.14444444444445,11,9,16,85,18,57,1,9
68,Matt Cassel,2013,3700000.0,863,1507,9619,76.77959183673471,59,47,112,663,138,564,1,49
69,Matt Cassel,2017,5250000.0,30,51,284,61.95,2,2,5,23,4,3,0,4
70,Matt Cassel,2015,2000000.0,41,71,425,72.86666666666667,3,4,6,39,9,18,0,3
71,Matt Cassel,2015,2000000.0,41,71,425,72.86666666666667,3,4,6,39,9,18,0,3
72,Matt Cassel,2016,2000000.0,119,204,1276,52.95,5,7,14,86,15,78,0,10
73,Ryan Fitzpatrick,2011,59000000.0,382,668,4422,75.76521739130435,32,25,45,272,71,410,1,23
74,Ryan Fitzpatrick,2016,12000000.0,532,874,6388,91.03928571428571,48,23,40,177,110,454,4,28
75,Ryan Fitzpatrick,2014,7250000.0,217,350,2454,83.78181818181818,14,12,21,109,43,225,3,11
76,Ryan Fitzpatrick,2013,6500000.0,659,1074,7232,81.95,48,39,52,309,104,412,1,32
77,Ryan Fitzpatrick,2009,8250000.0,221,372,1905,66.43846153846154,8,9,38,193,60,304,2,13
78,Ryan Fitzpatrick,2017,3000000.0,228,403,2710,68.79285714285716,12,17,19,81,33,130,0,14
79,Ryan Fitzpatrick,2008,927000.0,76,135,777,42.26666666666667,4,8,9,49,17,64,2,6
