contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,total_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games
Luke McCown,2016,3000000.0,32,39,335,208.4,0,1,1,0,0,0,0,8
Luke McCown,2015,1050000.0,0,0,0,0,0,0,0,0,0,0,0,16
Luke McCown,2014,920000.0,0,1,0,39.6,0,0,0,0,3,-4,0,18
Luke McCown,2012,825000.0,30,56,296,211.5,0,4,4,38,7,23,0,4
Luke McCown,2013,825000.0,0,0,0,0,0,0,0,0,2,-3,0,2
Luke McCown,2017,1080000.0,0,0,0,0,0,0,0,0,0,0,0,0
Luke McCown,2004,2475000.0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Smith,2018,94000000.0,1258,1898,13734,5745.5,75,27,150,797,244,1201,9,60
Alex Smith,2014,68000000.0,491,772,5428,2519.3,40,12,65,362,115,620,1,26
Alex Smith,2005,49500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Smith,2012,24000000.0,309,513,3639,1677.2,22,5,51,316,59,249,3,18
Alex Smith,2011,4000000.0,429,714,4720,1836.6000000000001,32,22,47,274,42,111,0,22
Alex Smith,2009,6500000.0,435,800,4679,2033.1000000000001,19,31,81,508,87,339,2,32
Jason Campbell,2005,7500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Campbell,2010,4600000.0,1002,1637,10860,4274.699999999999,55,38,109,716,153,786,3,52
Jason Campbell,2012,3500000.0,294,494,3557,1581.6000000000001,19,12,38,227,65,282,3,19
Jason Campbell,2010,3143250.0,1002,1637,10860,4274.699999999999,55,38,109,716,153,786,3,52
Jason Campbell,2013,3750000.0,32,51,265,327.1,2,2,6,49,7,28,0,6
Jason Campbell,2014,1500000.0,180,317,2015,677.4,11,8,16,97,14,107,0,9
Kyle Orton,2010,8379000.0,608,1006,6774,2623.8,39,24,56,319,48,120,3,31
Kyle Orton,2014,11000000.0,42,61,487,307.7,3,2,0,0,1,8,0,4
Kyle Orton,2012,10500000.0,443,750,5411,1773.1999999999996,29,18,44,297,33,111,0,22
Kyle Orton,2008,3000000.0,233,448,2347,1149.3000000000002,12,15,32,202,29,43,0,18
Kyle Orton,2010,2621000.0,608,1006,6774,2623.8,39,24,56,319,48,120,3,31
Kyle Orton,2005,1843000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Cassel,2009,63000000.0,349,555,3946,1978.8,23,13,50,235,86,297,3,35
Matt Cassel,2014,10500000.0,153,254,1807,730.3,11,9,16,85,18,57,1,9
Matt Cassel,2013,3700000.0,863,1507,9619,3762.2000000000007,59,47,112,663,138,564,1,49
Matt Cassel,2017,5250000.0,30,51,284,247.8,2,2,5,23,4,3,0,4
Matt Cassel,2015,2000000.0,41,71,425,218.60000000000002,3,4,6,39,9,18,0,3
Matt Cassel,2015,2000000.0,41,71,425,218.60000000000002,3,4,6,39,9,18,0,3
Matt Cassel,2016,2000000.0,119,204,1276,529.5,5,7,14,86,15,78,0,10
Matt Cassel,2018,1105000.0,25,42,162,93.8,1,2,8,30,0,0,0,3
Matt Cassel,2005,1439000.0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,2011,59000000.0,382,668,4422,1742.6000000000001,32,25,45,272,71,410,1,23
Ryan Fitzpatrick,2016,12000000.0,532,874,6388,2549.1,48,23,40,177,110,454,4,28
Ryan Fitzpatrick,2021,10000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,2019,11000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,2014,7250000.0,217,350,2454,921.6,14,12,21,109,43,225,3,11
Ryan Fitzpatrick,2013,6500000.0,659,1074,7232,2622.4,48,39,52,309,104,412,1,32
Ryan Fitzpatrick,2009,8250000.0,221,372,1905,863.7,8,9,38,193,60,304,2,13
Ryan Fitzpatrick,2018,3300000.0,96,163,1103,474.29999999999995,7,3,7,34,15,78,0,6
Ryan Fitzpatrick,2017,3000000.0,228,403,2710,963.1000000000001,12,17,19,81,33,130,0,14
Ryan Fitzpatrick,2008,927000.0,76,135,777,253.60000000000002,4,8,9,49,17,64,2,6
Ryan Fitzpatrick,2005,953250.0,0,0,0,0,0,0,0,0,0,0,0,0
JaMarcus Russell,2007,61000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Kolb,2011,62108000.0,115,189,1197,463.0,7,7,15,99,15,65,0,7
Kevin Kolb,2010,12222000.0,79,130,885,423.29999999999995,4,7,3,27,21,-1,1,12
Kevin Kolb,2013,6100000.0,255,436,3124,1320.3999999999999,17,11,57,378,33,165,1,15
Kevin Kolb,2007,4330000.0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Stanton,2016,6500000.0,143,265,1815,1019.0000000000001,7,7,13,74,38,50,0,16
Drew Stanton,2018,6500000.0,63,139,732,434.5,5,5,5,31,9,4,0,8
Drew Stanton,2012,1250000.0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Stanton,2007,3405000.0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Stanton,2011,900000.0,104,187,1158,794.3,5,9,17,104,30,166,2,12
Drew Stanton,2020,204000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Ryan,2018,150000000.0,1948,2886,22642,7799.8,138,62,166,1113,143,492,1,78
Matt Ryan,2013,103750000.0,1778,2824,20187,7707.700000000001,136,67,124,799,213,518,5,83
Matt Ryan,2008,67500000.0,0,0,0,0,0,0,0,0,0,0,0,0
