contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,total_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games
Mike Glennon,2020,1187500.0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,2020,1150000.0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,2022,277200.0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,2022,277200.0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,2020,204000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2017,4000000.0,129,216,1611,484.5,8,14,6,43,7,2,0,7
Matt Barkley,2018,4000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2018,3350000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2021,1075000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2013,2739528.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2023,1250200.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2022,1145000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2017,775000.0,129,216,1611,484.5,8,14,6,43,7,2,0,7
Matt Barkley,2018,790000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2016,675000.0,30,50,300,216.4,0,4,3,24,5,-2,0,4
Matt Barkley,2022,358200.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2016,244800.0,30,50,300,216.4,0,4,3,24,5,-2,0,4
Matt Barkley,2021,252000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2021,252000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,2021,1100000.0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Nassib,2013,2613600.0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Nassib,2017,855000.0,9,10,128,275.0,1,0,2,11,2,-3,0,5
Ryan Nassib,2017,775000.0,9,10,128,275.0,1,0,2,11,2,-3,0,5
Landry Jones,2017,4400000.0,87,146,1082,698.4000000000001,7,7,7,62,11,-9,0,17
Landry Jones,2013,2599220.0,0,0,0,0,0,0,0,0,0,0,0,0
Landry Jones,2018,790000.0,0,0,0,0,0,0,0,0,3,-3,0,1
Landry Jones,2019,805000.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2013,2206512.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2016,1290000.0,1,2,7,58.3,0,0,0,0,6,6,0,8
B.J. Daniels,2014,1080000.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2015,1110000.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2016,600000.0,1,2,7,58.3,0,0,0,0,6,6,0,8
B.J. Daniels,2017,615000.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2015,510000.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2015,510000.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2014,170000.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2013,102000.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2015,112200.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2015,112200.0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. Daniels,2016,117300.0,1,2,7,58.3,0,0,0,0,6,6,0,8
Sean Renfree,2013,2205896.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Renfree,2017,635000.0,3,7,11,10.7,0,1,2,17,1,-4,0,2
Johnny Manziel,2014,8248596.0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,2020,63000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,2021,11500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,2019,7250000.0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,2018,6000000.0,568,873,6296,2607.6000000000004,28,21,86,577,94,401,4,30
Teddy Bridgewater,2022,6500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,2023,3000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,2014,6849502.0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Carr,2022,121422481.0,222,343,2444,947.5,16,8,13,68,13,16,0,10
Derek Carr,2023,150000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Carr,2017,125025000.0,1055,1732,11194,4151.300000000001,81,31,71,458,101,300,0,47
Derek Carr,2014,5371802.0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,2018,137500000.0,65,96,708,878.5,6,0,8,51,26,14,0,19
Jimmy Garoppolo,2023,72750000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,2022,7000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,2014,3483898.0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Thomas,2014,2652092.0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Thomas,2015,1235000.0,1,9,81,148.5,1,0,2,11,0,0,0,3
Logan Thomas,2015,170000.0,1,9,81,148.5,1,0,2,11,0,0,0,3
Logan Thomas,2016,117300.0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. McCarron,2018,10000000.0,102,160,1066,629.4,7,3,15,87,19,40,0,10
A.J. McCarron,2020,4000000.0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. McCarron,2019,3000000.0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. McCarron,2021,1212500.0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. McCarron,2014,2401652.0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Mettenberger,2014,2345116.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2018,880000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2020,910000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2014,2334224.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2019,805000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2019,805000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2017,690000.0,2,5,22,53.7,0,0,1,5,1,0,0,1
David Fales,2015,1110000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2016,600000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2014,1530000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2015,212500.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2016,170000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2020,204000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2014,107100.0,0,0,0,0,0,0,0,0,0,0,0,0
David Fales,2015,112200.0,0,0,0,0,0,0,0,0,0,0,0,0
Jameis Winston,2022,28000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jameis Winston,2015,25351277.0,0,0,0,0,0,0,0,0,0,0,0,0
Jameis Winston,2021,5500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jameis Winston,2023,4000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jameis Winston,2020,1100000.0,816,1361,10052,3472.2,60,39,75,509,122,429,7,40
Marcus Mariota,2022,18750000.0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Mariota,2020,17600000.0,699,1127,8517,3325.4,54,31,78,536,134,791,8,37
Marcus Mariota,2015,24213974.0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Mariota,2023,5000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Mariota,2021,3500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,2021,1127500.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,2022,1272500.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,2015,3250896.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,2021,990000.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,2020,1047500.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,2019,895000.0,10,14,62,219.2,0,1,0,0,6,-10,0,5
Sean Mannion,2021,334000.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,2022,358200.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,2021,293000.0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,2021,252000.0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Petty,2015,2833696.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2019,1875000.0,115,194,1202,654.9000000000001,5,8,21,137,18,122,2,12
Brett Hundley,2021,990000.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2022,1120000.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2020,1047500.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2015,2503632.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2021,320000.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2021,293000.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2021,252000.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2021,252000.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2022,277200.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2022,277200.0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Hundley,2022,277200.0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Siemian,2019,2000000.0,452,754,5219,1901.2,29,20,57,353,54,154,1,23
Trevor Siemian,2022,4000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Siemian,2023,1317500.0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Siemian,2021,990000.0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Siemian,2020,910000.0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Siemian,2015,2332784.0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Siemian,2020,204000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Goff,2019,134000000.0,335,566,4053,1555.0,23,12,45,355,30,69,2,19
Jared Goff,2016,27937672.0,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,2019,27975000.0,230,378,2768,1243.8,9,5,49,299,57,253,4,14
Jacoby Brissett,2023,8000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,2021,5000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,2022,4650000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,2016,3410832.0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Kessler,2016,3389082.0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Kessler,2019,912150.0,139,218,1506,951.0,6,3,27,188,12,17,0,12
Cody Kessler,2019,1565000.0,139,218,1506,951.0,6,3,27,188,12,17,0,12
Cody Kessler,2019,1540000.0,139,218,1506,951.0,6,3,27,188,12,17,0,12
Connor Cook,2016,2959888.0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Cook,2019,685000.0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Cook,2018,129200.0,32,66,311,113.4,2,4,5,29,0,0,0,2
Connor Cook,2018,129200.0,32,66,311,113.4,2,4,5,29,0,0,0,2
Cardale Jones,2016,2723392.0,0,0,0,0,0,0,0,0,0,0,0,0
Cardale Jones,2016,2723392.0,0,0,0,0,0,0,0,0,0,0,0,0
Cardale Jones,2019,645000.0,0,0,0,0,0,0,0,0,0,0,0,0
Cardale Jones,2018,129200.0,6,11,96,46.0,0,1,1,2,1,-1,0,1
Cardale Jones,2019,136000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Rudock,2020,750000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Rudock,2018,630000.0,0,0,0,0,0,0,0,0,0,0,0,2
Jake Rudock,2019,645000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Rudock,2020,660000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Rudock,2016,990000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Rudock,2018,340000.0,0,0,0,0,0,0,0,0,0,0,0,2
Jake Rudock,2019,340000.0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Rudock,2020,142800.0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Rudock,2020,142800.0,0,0,0,0,0,0,0,0,0,0,0,0
